open,high,low,close,date
420.475,420.48,420.345,420.395,2021-06-02 09:53:00
420.395,420.505,420.395,420.425,2021-06-02 09:54:00
420.425,420.685,420.415,420.625,2021-06-02 09:55:00
420.625,420.635,420.435,420.545,2021-06-02 09:56:00
420.545,420.575,420.405,420.445,2021-06-02 09:57:00
420.445,420.545,420.405,420.535,2021-06-02 09:58:00
420.535,420.54,420.355,420.4,2021-06-02 09:59:00
420.4,420.445,420.365,420.395,2021-06-02 10:00:00
420.395,420.395,420.275,420.325,2021-06-02 10:01:00
420.325,420.425,420.235,420.305,2021-06-02 10:02:00
420.305,420.385,420.275,420.385,2021-06-02 10:03:00
420.385,420.495,420.365,420.415,2021-06-02 10:04:00
420.415,420.475,420.325,420.325,2021-06-02 10:05:00
420.325,420.395,420.305,420.39,2021-06-02 10:06:00
420.39,420.535,420.375,420.495,2021-06-02 10:07:00
420.495,420.535,420.405,420.505,2021-06-02 10:08:00
420.505,420.565,420.475,420.495,2021-06-02 10:09:00
420.495,420.535,420.455,420.495,2021-06-02 10:10:00
420.495,420.635,420.435,420.565,2021-06-02 10:11:00
420.565,420.615,420.455,420.475,2021-06-02 10:12:00
420.475,420.475,420.315,420.385,2021-06-02 10:13:00
420.385,420.495,420.355,420.485,2021-06-02 10:14:00
420.485,420.565,420.45,420.515,2021-06-02 10:15:00
420.515,420.525,420.38,420.495,2021-06-02 10:16:00
420.495,420.605,420.475,420.575,2021-06-02 10:17:00
420.575,420.665,420.565,420.605,2021-06-02 10:18:00
420.605,420.775,420.605,420.685,2021-06-02 10:19:00
420.685,420.715,420.63,420.695,2021-06-02 10:20:00
420.695,420.705,420.615,420.655,2021-06-02 10:21:00
420.655,420.775,420.625,420.745,2021-06-02 10:22:00
420.745,420.895,420.745,420.895,2021-06-02 10:23:00
420.895,420.925,420.805,420.895,2021-06-02 10:24:00
420.895,420.925,420.825,420.875,2021-06-02 10:25:00
420.875,420.925,420.845,420.905,2021-06-02 10:26:00
420.905,420.975,420.9,420.955,2021-06-02 10:27:00
420.955,420.965,420.905,420.925,2021-06-02 10:28:00
420.925,420.925,420.775,420.845,2021-06-02 10:29:00
420.845,420.895,420.795,420.845,2021-06-02 10:30:00
420.845,420.925,420.845,420.845,2021-06-02 10:31:00
420.845,420.945,420.845,420.875,2021-06-02 10:32:00
420.875,420.955,420.875,420.885,2021-06-02 10:33:00
420.885,420.895,420.775,420.775,2021-06-02 10:34:00
420.775,420.805,420.605,420.625,2021-06-02 10:35:00
420.625,420.645,420.485,420.555,2021-06-02 10:36:00
420.555,420.745,420.555,420.685,2021-06-02 10:37:00
420.685,420.72,420.605,420.695,2021-06-02 10:38:00
420.695,420.705,420.615,420.675,2021-06-02 10:39:00
420.675,420.835,420.655,420.775,2021-06-02 10:40:00
420.775,420.885,420.775,420.845,2021-06-02 10:41:00
420.845,420.895,420.835,420.875,2021-06-02 10:42:00
420.875,420.905,420.825,420.855,2021-06-02 10:43:00
420.855,420.875,420.805,420.835,2021-06-02 10:44:00
420.835,420.925,420.825,420.895,2021-06-02 10:45:00
420.895,420.965,420.895,420.945,2021-06-02 10:46:00
420.945,420.975,420.855,420.875,2021-06-02 10:47:00
420.875,420.875,420.725,420.755,2021-06-02 10:48:00
420.755,420.775,420.685,420.745,2021-06-02 10:49:00
420.745,420.795,420.685,420.695,2021-06-02 10:50:00
420.695,420.755,420.635,420.645,2021-06-02 10:51:00
420.645,420.705,420.575,420.595,2021-06-02 10:52:00
420.595,420.595,420.515,420.545,2021-06-02 10:53:00
420.545,420.66,420.545,420.635,2021-06-02 10:54:00
420.635,420.695,420.555,420.605,2021-06-02 10:55:00
420.605,420.615,420.52,420.545,2021-06-02 10:56:00
